date,code,close,prsn_qty,frgn_qty,orgn_qty,prsn_val,frgn_val,orgn_val
2026-04-28,012330,447000,-45634.0,15592.0,27187.0,-20411.0,6952.0,12209.0
2026-04-29,012330,439000,52160.0,-59662.0,-22116.0,22870.0,-26174.0,-9736.0
2026-04-30,012330,425000,34290.0,-53601.0,-5891.0,14667.0,-22914.0,-2542.0
2026-05-04,012330,431500,-41073.0,35140.0,-12159.0,-17773.0,15165.0,-5195.0
2026-05-06,012330,432500,-1193.0,32087.0,-67551.0,-596.0,14002.0,-29308.0
2026-05-07,012330,441500,-29471.0,-2510.0,10443.0,-13468.0,-844.0,4808.0
2026-05-08,012330,509000,-162337.0,-57743.0,222138.0,-81374.0,-31677.0,114077.0
2026-05-11,012330,553000,138878.0,-242184.0,92092.0,76550.0,-134168.0,51408.0
2026-05-12,012330,548000,300978.0,-420223.0,84565.0,171167.0,-238711.0,48350.0
2026-05-13,012330,649000,29126.0,-251400.0,206433.0,19261.0,-160953.0,131591.0
2026-05-14,012330,650000,407795.0,-423182.0,-9056.0,271198.0,-280728.0,-6667.0
2026-05-15,012330,629000,48764.0,-139654.0,59979.0,32863.0,-92051.0,39348.0
2026-05-18,012330,571000,173211.0,-273126.0,51278.0,100076.0,-157371.0,29344.0
2026-05-19,012330,525000,66745.0,-70650.0,-32568.0,36104.0,-38520.0,-16755.0
2026-05-20,012330,535000,260485.0,-318602.0,29637.0,140456.0,-171690.0,15983.0
2026-05-21,012330,670000,-14814.0,-153970.0,171519.0,-9986.0,-98870.0,110920.0
2026-05-22,012330,646000,284449.0,-385793.0,72744.0,182627.0,-247864.0,46912.0
